CARTRIP,Car Trip,17359,374,374
HEIGHTRATION,Height of Rationals,19095,405,405
AVGPROBLEM,Greater Average,16827,500,500
TESTAVG,Test Averages,17282,558,558
CANDYDIST,Candy Distribution,19962,668,668
WGHTS,Weights,19702,697,697
EQLZING,Equalizing Numbers,18273,823,823
ODDPAIRS,Odd Pairs,15418,1044,1044
EASYPERM,Easy Permutation,16641,1057,1057
MAKEABEQUAL,Make A and B equal,13106,1264,1264
ARREQU,Array Equality,12439,1281,1281
RING_GAME,Black&amp;White Ring Game,5306,1666,1666
TREECLR,Tree Coloring,3066,1898,1898
QUEENBL,Queen Blocks,2350,1946,1946
SUB12OP,Subtract 12 Operation,2693,1991,1991
SORTARRAY,Sort the Array,1070,2076,2076
MAKEIT1,Make It One,64,2875,2875
ROCKET_PACK,Rocket Pack,67,2896,2896
MEXPERMDIF,MEX Permutation Difference,59,2945,2945
MAXPREFFLIP,Maximal Prefix After Flip,31,3013,3013
WNTR,Winter Is Here,16,3120,3120
MEXSUBTR,Mex On Subtrees,35,3121,3121
FLOW001,Add Two Numbers,442167,242,242
AGELIMIT,Age Limit,36665,245,245
BIRYANI,Biryani classes,30824,257,257
FIT,Fitness,32406,258,258
BURGERS,Burgers,31978,263,263
PRACLIST,How many unattempted problems,29691,264,264
DETSCORE,Determine the Score,24542,267,267
TALLER,Who is taller!,35116,281,281
MY1STCONTEST,My very 1st contest!,28347,284,284
BESTOFTWO,Best of Two,24471,284,284
MINHEIGHT,Roller Coaster,27976,285,285
CBSPEED,Chef and Brain Speed,28499,288,288
CHEFONDATE,Chef On Date,23588,294,294
PRIZEPOOL,Total Prize Money,31212,296,296
CNTWRD,Counting Words,23124,296,296
SNDMAX,Second Max of Three Numbers,40986,300,300
CHAIRS_,Chairs Requirement,27893,305,305
SUBSCRIBE,Get Subscription,25547,315,315
ENSPACE,Enough Space,18961,317,317
WAITTIME,Waiting Time,22956,319,319
EQUALDIST,Equal Distribution,23580,330,330
AUCTION,Bidding,22676,330,330
CHESSTIME,Chess Time,20951,337,337
FAIRPASS,Passes for Fair,23408,342,342
M1ENROL,MATH1 Enrolment,21675,349,349
SEMCOURSES,Chef and Chapters,24736,350,350
WATERREQ,Water Requirement,26935,351,351
LTIME,Lunchtime,24837,352,352
APPLORNG,Apples and Oranges,21549,355,355
POPULATION,Final Population,25549,358,358
PARTY2,Chef gives Party,22207,363,363
AIRHOCKEY,Air Hockey,19551,366,366
INTRDSGN,Interior Design,18041,373,373
EMAILREM,Email Reminders,26370,379,379
SIXFRIENDS,Six Friends,27714,382,382
MINCOINSREQ,Minimum Coins,21521,390,390
TFPAPER,True and False Paper,17200,398,398
CABS,The Cheaper Cab,52088,399,399
